name	base_ingredient_1_name	base_ingredient_1_qty	base_ingredient_2_name	base_ingredient_2_qty	base_ingredient_3_name	base_ingredient_3_qty	base_ingredient_4_name	base_ingredient_4_qty	base_ingredient_5_name	base_ingredient_5_qty	base_ingredient_6_name	base_ingredient_6_qty	base_ingredient_7_name	base_ingredient_7_qty	base_ingredient_8_name	base_ingredient_8_qty	base_ingredient_9_name	base_ingredient_9_qty	base_ingredient_10_name	base_ingredient_10_qty	base_ingredient_11_name	base_ingredient_11_qty	base_ingredient_12_name	base_ingredient_12_qty	base_ingredient_13_name	base_ingredient_13_qty	base_ingredient_14_name	base_ingredient_14_qty	base_ingredient_15_name	base_ingredient_15_qty	base_ingredient_16_name	base_ingredient_16_qty	base_ingredient_17_name	base_ingredient_17_qty	base_ingredient_18_name	base_ingredient_18_qty	base_ingredient_19_name	base_ingredient_19_qty	base_ingredient_20_name	base_ingredient_20_qty	base_ingredient_21_name	base_ingredient_21_qty	base_ingredient_22_name	base_ingredient_22_qty	base_ingredient_23_name	base_ingredient_23_qty	base_ingredient_24_name	base_ingredient_24_qty	base_ingredient_25_name	base_ingredient_25_qty	base_ingredient_26_name	base_ingredient_26_qty	base_ingredient_27_name	base_ingredient_27_qty
Pristine Ruby	Fire Mote	260	Solvent	52	Flawed Ruby	60																																																
Cabbage	Cabbage	1																																																				
Abyssal Amethyst Ring	Soul Mote	15	Solvent	4	Flawed Amethyst	3	Precious Metals	1	Trinket Bands	1	Trinket Gem Settings	1																																										
Canned Fish Stockpile	Cooking Recipe	1	Firm Fish Filet	15	Fish Filet	15	Fish Oil	15	Squid Meat	15																																												
Fur-Lined Orichalcum Greaves of the Scholar	Leathers	4	Cloth	2	Timeless Legguards Shard	1	Linen Arcane Embroidery	10	Tier 5 Metals	12																																												
Marauder Ravager Hat of the Cleric	Marauder Ravager Hat of the Brigand	1	Marauder Cleric Seal	1	Azoth	50																																																
Fireproof Pristine Ruby Amulet of the Sentry	Timeless Amulet Shard	1	Iron Guardsman's Insignia	10	Trinket Chains	1	Solvent	54	Fire Mote	440	Flawed Ruby	60	Precious Metals	1	Trinket Gem Settings	1																																						
Gypsum Earring Cast	Ruby Gypsum	2																																																				
Twig of the Azoth Tree	Iron Ore	56	Fae Iron	4	Green Wood	12	Rawhide	32	Silver Ore	16																																												
Syndicate Scrivener Coat of the Barbarian	Syndicate Scrivener Coat of the Brigand	1	Azoth	50	Syndicate Barbarian Seal	1																																																
Marauder Commander Legguards of the Brigand	Marauder Brigand Seal	1	Azoth	50	Marauder Commander Legguards of the Barbarian	1																																																
Powerful Health Potion	Earth Reagents	1	Medicinal Reagents	1	Spirit Reagents	1	Hyssop	8	Water	1																																												
Marauder Gladiator Jacket of the Priest	Marauder Gladiator Jacket of the Priest	1																																																				
Starmetal Hinges	Work Order: Starmetal Hinges	1																																																				
Transference Seal	Transference Seal	1																																																				
Iron Life Staff	Life Arcana	6	Leathers	4	Metals	5	Tier 2 Timber	8																																														
Marauder Soldier Gauntlets of the Barbarian	Marauder Soldier Gauntlets of the Barbarian	1																																																				
Poached Fish with Lemon and Dill	Dill	1	Water	1	Fish Filet	1	Lemon	1																																														
Infused Silk Robe Shoes of the Sage	Metals	1	Leathers	2	Softwood Prayer Beads	10	Timeless Shoes Shard	1	Tier 5 Cloth	6																																												
Padded Pristine Jasper Earring of the Sentry	Iron Guardsman's Insignia	10	Precious Metals	1	Solvent	54	Air Mote	440	Flawed Jasper	60	Trinket Hooks	1	Trinket Gem Settings	1	Timeless Earring Shard	1																																						
Dazzling Coral Dye	Magenta Pigment	1	Water	3	Red Pigment	2																																																
Voidbent Boots	Infused Claw	2	Wirefiber	1080	Cloth Weave	70	Fibers	640	Silk Threads	120	Refining Materials Tier 5	180	Masterwork Material Converter	9	Iron Hide	3740	Infused Fang	4	Life Mote	100	Soul Mote	100	Death Mote	100	Fire Mote	100	Earth Mote	100	Water Mote	100	Air Mote	100	Void Ore	1	Void Essence	1	Refining Materials Tier 3	4200	Common Material Converter	210	Rawhide	1920	Thick Hide	360	Orichalcum Ore	540	Flux	35	Wood	144	Starmetal Ore	60	Iron Ore	240
Dryad's Life Staff	Life Mote	1080	Orichalcum Ore	19440	Flux	1260	Wood	5184	Starmetal Ore	2160	Iron Ore	8640	Refining Materials Tier 5	1020	Masterwork Material Converter	51	Iron Hide	8100	Refining Materials Tier 3	10500	Common Material Converter	525	Rawhide	4800	Thick Hide	900	Pattern: Dryad's Life Staff	1	Azoth	225																								
Marauder Commander Shoes of the Occultist	Marauder Occultist Seal	1	Azoth	50	Marauder Commander Shoes of the Brigand	1																																																
Pattern: Dryad's Sword	Pattern: Dryad's Sword	1																																																				
Pattern: Soaked Great Hammer	Pattern: Soaked Great Hammer	1																																																				
Padded Pristine Jasper Ring of the Soldier	Iron Battle Medal	10	Timeless Ring Shard	1	Precious Metals	1	Solvent	54	Air Mote	440	Flawed Jasper	60	Trinket Bands	1	Trinket Gem Settings	1																																						
Cut Flawed Topaz	Flawed Topaz	1	Air Mote	2																																																		
Meat Pie	Water	1	Salt	1	Cooked Grain	2	Rosemary	1	Peppercorn	1	Game Meat	1																																										
Steel Kite Shield	Refined Wood	2	Tier 3 Metals	9	Leathers	1																																																
Common Honing Stone	Fire Mote	5	Death Mote	5	Sandpaper	1	Stone	16																																														
Ironwood Bow of the Sage	Cloth	2	Tier 5 Timber	15	Softwood Prayer Beads	10	Leathers	3	Timeless Bow Shard	1																																												
Syndicate Chronicler Breastplate of the Brigand	Syndicate Brigand Seal	1	Azoth	50	Syndicate Chronicler Breastplate of the Barbarian	1																																																
Shipyard Sentinel Musket	Refined Wood	3	Leathers	2	Tier 4 Metals	14	Jade Collar	10	Jade Talisman	1																																												
Orichalcum Void Gauntlet of the Ranger	Timeless Void Gauntlet Shard	1	Rough Leather Beaded Straps	10	Metals	4	Tier 5 Leather	8	Cloth	5	Death Arcana	6																																										
Covenant Adjudicator Boots of the Barbarian	Covenant Adjudicator Boots of the Barbarian	1																																																				
Orichalcum Ice Gauntlet of the Soldier	Metals	4	Iron Battle Medal	10	Water Arcana	6	Tier 5 Leather	8	Timeless Ice Gauntlet Shard	1	Cloth	5																																										
Marauder Gladiator Legguards of the Occultist	Marauder Occultist Seal	1	Azoth	50	Marauder Gladiator Legguards of the Barbarian	1																																																
Gypsum Footwear Cast	Ruby Gypsum	2																																																				
Cold's Cure	Life Arcana	4	Leathers	6	Tier 5 Timber	8	Metals	5	Pattern: Cold's Cure	1																																												
Empowered Pristine Sapphire Ring of the Ranger	Rough Leather Beaded Straps	10	Timeless Ring Shard	1	Precious Metals	1	Trinket Bands	1	Solvent	54	Flawed Sapphire	60	Death Mote	440	Trinket Gem Settings	1																																						
Infused Silk Hat of the Soldier	Iron Battle Medal	10	Metals	1	Leathers	6	Timeless Cap Shard	1	Tier 5 Cloth	11																																												
Narrow Rosewood Bookcase	Flux	45	Wood	180	Starmetal Ore	90	Iron Ore	360	Refining Materials Tier 4	400	Advanced Material Converter	20	Oil	8	Wyrdwood	180	Sandpaper	90	Aged Wood	240	Green Wood	480																																
Russet Brown Dye	Brown Pigment	2	Magenta Pigment	1	Water	3																																																
Marauder Soldier Breastplate of the Brigand	Marauder Soldier Breastplate of the Barbarian	1	Marauder Brigand Seal	1	Azoth	50																																																
Large Party Spread	Large Party Spread	1																																																				
Ancient Wood	Ancient Wood	1																																																				
Pattern: Floral Regent Tunic	Pattern: Floral Regent Tunic	1																																																				
Marauder Destroyer Headwear of the Brigand	Marauder Destroyer Headwear of the Priest	1	Marauder Brigand Seal	1	Azoth	50																																																
Set of Impenetrable Iron Armor	Rawhide	52	Iron Ore	52	Fibers	56	Armorsmithing Work Order	1																																														
Silk Robe Hat	Metals	1	Tier 4 Cloth	12	Leathers	4																																																
Juice Samples	Cranberry	3	Cooking Recipe	1	Water	3																																																
Pattern: Graverobber's Round Shield	Pattern: Graverobber's Round Shield	1																																																				
Pork Chops and Apple Sauce	Apple	1	Pork	1	Nut	1	Fish Oil	2	Cinnamon	1																																												
Infused Leather Gloves of the Scholar	Timeless Leather Gloves Shard	1	Metals	1	Tier 5 Leather	4	Linen Arcane Embroidery	10	Cloth	4																																												
Amrine Temple Spear	Refined Wood	3	Leathers	2	Coagulated Blood	10	Tier 3 Metals	13	Vial Of Ectoplasmic Mutagen	1																																												
Syndicate Alchemist Leggings of the Cleric	Azoth	50	Syndicate Alchemist Leggings of the Priest	1	Syndicate Cleric Seal	1																																																
Deepwarden's Battlehelm	Tier 4 Metals	8	Leathers	6	Corrupted Talisman	10	Cloth	4																																														
Syndicate Plague Doctor Mask of the Sentry	Syndicate Plague Doctor Mask of the Sentry	1																																																				
Cut Flawed Sapphire	Death Mote	2	Flawed Sapphire	1																																																		
Infused Silk Robe Pants of the Scholar	Timeless Pants Shard	1	Metals	1	Leathers	4	Tier 5 Cloth	12	Linen Arcane Embroidery	10																																												
Deepwatcher Great Axe	Corrupted Treatise	1	Refined Wood	3	Leathers	2	Corrupted Talisman	10	Tier 4 Metals	14																																												
Arboreal Flawed Amber Amulet	Flawed Amber	1	Earth Mote	2	Trinket Chains	1	Precious Metals	1	Trinket Gem Settings	1																																												
Starmetal Round Shield	Refined Wood	2	Tier 4 Metals	9	Leathers	1																																																
Set of Unyielding Crude Iron Armor	Rawhide	10	Fibers	20	Armorsmithing Work Order	1	Iron Ore	20																																														
Insulated Brilliant Topaz Ring	Precious Metals	1	Trinket Bands	1	Air Mote	80	Solvent	12	Flawed Topaz	12	Trinket Gem Settings	1																																										
Steel War Hammer	Refined Wood	3	Leathers	2	Tier 3 Metals	13																																																
Pattern: Dryad's Rapier	Pattern: Dryad's Rapier	1																																																				
Orichalcum Ice Gauntlet of the Sage	Metals	4	Water Arcana	6	Tier 5 Leather	8	Timeless Ice Gauntlet Shard	1	Cloth	5	Softwood Prayer Beads	10																																										
Covenant Adjudicator Headwear of the Priest	Covenant Adjudicator Headwear of the Priest	1																																																				
Covenant Excubitor Helm of the Brigand	Covenant Brigand Seal	1	Azoth	50	Covenant Excubitor Helm of the Barbarian	1																																																
Covenant Excubitor Footwear of the Occultist	Covenant Occultist Seal	1	Covenant Excubitor Footwear of the Priest	1	Azoth	50																																																
Rough Almond Dye	Brown Pigment	2	Water	3	Yellow Pigment	1																																																
Earth Reagents	Earth Reagents	1																																																				
Brown Bear Pelt Rug	Refining Materials Tier 3	2100	Common Material Converter	105	Rawhide	1120	Thick Hide	210	Pristine Bear Pelt	1	Feathers	10																																										
Tempered Pristine Emerald Ring of the Soldier	Iron Battle Medal	10	Earth Mote	440	Solvent	54	Flawed Emerald	60	Timeless Ring Shard	1	Precious Metals	1	Trinket Bands	1	Trinket Gem Settings	1																																						
Marauder Ravager Hat of the Brigand	Marauder Ravager Hat of the Brigand	1																																																				
Infused Silk Robe Hat	Metals	1	Leathers	4	Tier 5 Cloth	12																																																
Syndicate Scrivener Footwear of the Occultist	Syndicate Occultist Seal	1	Azoth	50	Syndicate Scrivener Footwear of the Priest	1																																																
Marauder Soldier Handcovers of the Brigand	Marauder Brigand Seal	1	Azoth	50	Marauder Soldier Handcovers of the Priest	1																																																
Arboreal Pristine Amber Earring of the Sentry	Iron Guardsman's Insignia	10	Precious Metals	1	Trinket Hooks	1	Solvent	54	Earth Mote	440	Flawed Amber	60	Trinket Gem Settings	1	Timeless Earring Shard	1																																						
Empowered Pristine Sapphire Earring of the Scholar	Precious Metals	1	Trinket Hooks	1	Solvent	54	Flawed Sapphire	60	Death Mote	440	Trinket Gem Settings	1	Linen Arcane Embroidery	10	Timeless Earring Shard	1																																						
Abyssal Pristine Amethyst Ring of the Sage	Timeless Ring Shard	1	Precious Metals	1	Trinket Bands	1	Soul Mote	440	Solvent	54	Flawed Amethyst	60	Softwood Prayer Beads	10	Trinket Gem Settings	1																																						
Covenant Excubitor Breastplate of the Brigand	Covenant Brigand Seal	1	Covenant Excubitor Breastplate of the Barbarian	1	Azoth	50																																																
Infused Silk Robe	Metals	1	Tier 5 Cloth	26	Leathers	8																																																
Syndicate Scrivener Footwear of the Brigand	Syndicate Brigand Seal	1	Azoth	50	Syndicate Scrivener Footwear of the Priest	1																																																
Obelisk Infantry Helm	Tier 3 Metals	8	Sparkling Bone Dust	10	Leathers	6	Cloth	4																																														
Syndicate Adept Headwear of the Cleric	Azoth	50	Syndicate Adept Headwear of the Priest	1	Syndicate Cleric Seal	1																																																
Abyssal Pristine Amethyst Amulet of the Sentry	Timeless Amulet Shard	1	Iron Guardsman's Insignia	10	Trinket Chains	1	Precious Metals	1	Soul Mote	440	Solvent	54	Flawed Amethyst	60	Trinket Gem Settings	1																																						
Starmetal Guardsman's Insignia	Common Transmutation Catalyst	4	Iron Guardsman's Insignia	20	Greater Transmutation Catalyst	1																																																
Marauder Soldier Pants of the Occultist	Marauder Soldier Pants of the Brigand	1	Marauder Occultist Seal	1	Azoth	50																																																
Obelisk Guard Void Gauntlet of the Mage	Metals	6	Sparkling Bone Dust	10	Tier 3 Leather	12	Death Arcana	1	Cloth	5	Vial of Ancient Mutagen	1																																										
Defender of Darkness	Aged Wood	20	Sandpaper	5	Green Wood	40	Flux	24	Wood	80	Iron Ore	240	Rawhide	240	Refining Materials Tier 3	300	Common Material Converter	15	Silver Ore	32	Gold Ore	20	Voidmetal	4																														
Evershine Polish	Evershine Polish	1																																																				
Balance of Time	Flux	54	Wood	168	Starmetal Ore	84	Iron Ore	336	Blessed Crucible	4	Platinum Ore	24	Silver Ore	64	Gold Ore	40	Brightscale Hide	2	Wyrdwood	18	Sandpaper	9	Aged Wood	24	Green Wood	48	Refining Materials Tier 3	480	Common Material Converter	24	Rawhide	256	Thick Hide	48																				
Marauder Commander Helm of the Brigand	Marauder Brigand Seal	1	Azoth	50	Marauder Commander Helm of the Barbarian	1																																																
Salted Roasted Vegetables	Potato	1	Nut	1	Salt	1	Oregano	1	Squash	1	Parsley	1	Milk	2																																								
Covenant Lumen Helm of the Occultist	Covenant Occultist Seal	1	Covenant Lumen Helm of the Barbarian	1	Azoth	50																																																
Calamari and Tomato Stew	Garlic	1	Nut	1	Fish Oil	2	Onion	1	Squid Meat	1	Tomato	1	Parsley	1																																								
Saddle Brown Dye	Brown Pigment	2	Water	3	Purple Pigment	1																																																
Spectral Flawed Malachite Ring	Precious Metals	1	Flawed Malachite	1	Soul Mote	2	Trinket Bands	1	Trinket Gem Settings	1																																												
Covenant Initiate Gauntlets of the Cleric	Azoth	50	Covenant Initiate Gauntlets of the Barbarian	1	Covenant Cleric Seal	1																																																
Infused Fur Hat of the Soldier	Iron Battle Medal	10	Metals	1	Tier 5 Leather	12	Cloth	4	Timeless Leather Hat Shard	1																																												
Starmetal Cartridge	Flux	6	Wood	34	Starmetal Ore	12	Iron Ore	48	Flint	2	Saltpeter	1	Fibers	64	Cloth Weave	6	Silk Threads	12																																				
Ruby Gypsum	Ruby Gypsum	1																																																				
