name,base_ingredient_1_name,base_ingredient_1_qty,base_ingredient_2_name,base_ingredient_2_qty,base_ingredient_3_name,base_ingredient_3_qty,base_ingredient_4_name,base_ingredient_4_qty,base_ingredient_5_name,base_ingredient_5_qty,base_ingredient_6_name,base_ingredient_6_qty,base_ingredient_7_name,base_ingredient_7_qty,base_ingredient_8_name,base_ingredient_8_qty,base_ingredient_9_name,base_ingredient_9_qty,base_ingredient_10_name,base_ingredient_10_qty,base_ingredient_11_name,base_ingredient_11_qty,base_ingredient_12_name,base_ingredient_12_qty,base_ingredient_13_name,base_ingredient_13_qty,base_ingredient_14_name,base_ingredient_14_qty,base_ingredient_15_name,base_ingredient_15_qty,base_ingredient_16_name,base_ingredient_16_qty,base_ingredient_17_name,base_ingredient_17_qty,base_ingredient_18_name,base_ingredient_18_qty,base_ingredient_19_name,base_ingredient_19_qty,base_ingredient_20_name,base_ingredient_20_qty,base_ingredient_21_name,base_ingredient_21_qty,base_ingredient_22_name,base_ingredient_22_qty,base_ingredient_23_name,base_ingredient_23_qty,base_ingredient_24_name,base_ingredient_24_qty,base_ingredient_25_name,base_ingredient_25_qty,base_ingredient_26_name,base_ingredient_26_qty,base_ingredient_27_name,base_ingredient_27_qty
Marauder Commander Breastplate of the Occultist,Marauder Occultist Seal,1.0,Azoth,50.0,Marauder Commander Breastplate of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkened Agent,Darkened Agent,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linen Shirt,Tier 2 Cloth,22.0,Leathers,12.0,Metals,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthshell Tail,Earthshell Tail,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern: Primeval Husk Breastplate,Pattern: Primeval Husk Breastplate,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyrdwood Bow,Cloth,2.0,Tier 4 Timber,14.0,Leathers,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadewalker Shoes of the Ranger,Rough Leather Beaded Straps,10.0,Metals,1.0,Leathers,2.0,Timeless Shoes Shard,1.0,Tier 5 Cloth,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Band,Silver Ore,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infused Silk Robe Shoes of the Scholar,Metals,1.0,Leathers,2.0,Timeless Shoes Shard,1.0,Linen Arcane Embroidery,10.0,Tier 5 Cloth,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadewalker Leggings of the Ranger,Rough Leather Beaded Straps,10.0,Timeless Pants Shard,1.0,Leathers,4.0,Metals,2.0,Tier 5 Cloth,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maritime Velvet Stool,Flux,30.0,Wood,120.0,Starmetal Ore,60.0,Iron Ore,240.0,Wyrdwood,90.0,Sandpaper,45.0,Aged Wood,120.0,Green Wood,240.0,Refining Materials Tier 4,200.0,Advanced Material Converter,10.0,Oil,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Inquisitor Pants of the Occultist,Covenant Occultist Seal,1.0,Covenant Inquisitor Pants of the Sentry,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Destroyer Boots of the Brigand,Marauder Brigand Seal,1.0,Azoth,50.0,Marauder Destroyer Boots of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Malachite Ring,Soul Mote,15.0,Solvent,4.0,Flawed Malachite,3.0,Precious Metals,1.0,Trinket Bands,1.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orichalcum Fire Staff of the Sentry,Iron Guardsman's Insignia,10.0,Timeless Fire Staff Shard,1.0,Leathers,4.0,Fire Arcana,6.0,Tier 5 Timber,8.0,Metals,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Adept Pants of the Brigand,Syndicate Adept Pants of the Brigand,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padded Jasper Earring,Precious Metals,1.0,Trinket Hooks,1.0,Solvent,4.0,Air Mote,15.0,Flawed Jasper,3.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Ring,Pearl,1.0,Precious Metals,1.0,Trinket Bands,1.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadewalker Shoes of the Scholar,Metals,1.0,Leathers,2.0,Timeless Shoes Shard,1.0,Linen Arcane Embroidery,10.0,Tier 5 Cloth,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Templar Legguards of the Occultist,Covenant Occultist Seal,1.0,Azoth,50.0,Covenant Templar Legguards of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sizzling Snow,Pattern: Sizzling Snow,1.0,Leathers,6.0,Tier 5 Timber,8.0,Metals,5.0,Fire Arcana,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit Supplies,Blueberry,12.0,Cooking Recipe,1.0,Cranberry,12.0,Strawberry,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahogany End Table,Refining Materials Tier 5,400.0,Masterwork Material Converter,20.0,Oil,8.0,Flux,105.0,Wood,420.0,Starmetal Ore,180.0,Iron Ore,720.0,Orichalcum Ore,120.0,Ironwood,240.0,Sandpaper,210.0,Wyrdwood,360.0,Aged Wood,480.0,Green Wood,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set of Unyielding Steel Armor,Rawhide,128.0,Refining Materials Tier 3,160.0,Common Material Converter,8.0,Flux,8.0,Wood,32.0,Iron Ore,96.0,Fibers,144.0,Cloth Weave,9.0,Armorsmithing Work Order,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pristine Ruby,Fire Mote,260.0,Solvent,52.0,Flawed Ruby,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabbage,Cabbage,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssal Amethyst Ring,Soul Mote,15.0,Solvent,4.0,Flawed Amethyst,3.0,Precious Metals,1.0,Trinket Bands,1.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canned Fish Stockpile,Cooking Recipe,1.0,Firm Fish Filet,15.0,Fish Filet,15.0,Fish Oil,15.0,Squid Meat,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fur-Lined Orichalcum Greaves of the Scholar,Leathers,4.0,Cloth,2.0,Timeless Legguards Shard,1.0,Linen Arcane Embroidery,10.0,Tier 5 Metals,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Ravager Hat of the Cleric,Marauder Ravager Hat of the Brigand,1.0,Marauder Cleric Seal,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireproof Pristine Ruby Amulet of the Sentry,Timeless Amulet Shard,1.0,Iron Guardsman's Insignia,10.0,Trinket Chains,1.0,Solvent,54.0,Fire Mote,440.0,Flawed Ruby,60.0,Precious Metals,1.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsum Earring Cast,Ruby Gypsum,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twig of the Azoth Tree,Iron Ore,56.0,Fae Iron,4.0,Green Wood,12.0,Rawhide,32.0,Silver Ore,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Scrivener Coat of the Barbarian,Syndicate Scrivener Coat of the Brigand,1.0,Azoth,50.0,Syndicate Barbarian Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Commander Legguards of the Brigand,Marauder Brigand Seal,1.0,Azoth,50.0,Marauder Commander Legguards of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powerful Health Potion,Earth Reagents,1.0,Medicinal Reagents,1.0,Spirit Reagents,1.0,Hyssop,8.0,Water,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Gladiator Jacket of the Priest,Marauder Gladiator Jacket of the Priest,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmetal Hinges,Work Order: Starmetal Hinges,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transference Seal,Transference Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Life Staff,Life Arcana,6.0,Leathers,4.0,Metals,5.0,Tier 2 Timber,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Soldier Gauntlets of the Barbarian,Marauder Soldier Gauntlets of the Barbarian,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poached Fish with Lemon and Dill,Dill,1.0,Water,1.0,Fish Filet,1.0,Lemon,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infused Silk Robe Shoes of the Sage,Metals,1.0,Leathers,2.0,Softwood Prayer Beads,10.0,Timeless Shoes Shard,1.0,Tier 5 Cloth,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padded Pristine Jasper Earring of the Sentry,Iron Guardsman's Insignia,10.0,Precious Metals,1.0,Solvent,54.0,Air Mote,440.0,Flawed Jasper,60.0,Trinket Hooks,1.0,Trinket Gem Settings,1.0,Timeless Earring Shard,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dazzling Coral Dye,Magenta Pigment,1.0,Water,3.0,Red Pigment,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voidbent Boots,Infused Claw,2.0,Wirefiber,1080.0,Cloth Weave,70.0,Fibers,640.0,Silk Threads,120.0,Refining Materials Tier 5,180.0,Masterwork Material Converter,9.0,Iron Hide,3740.0,Infused Fang,4.0,Life Mote,100.0,Soul Mote,100.0,Death Mote,100.0,Fire Mote,100.0,Earth Mote,100.0,Water Mote,100.0,Air Mote,100.0,Void Ore,1.0,Void Essence,1.0,Refining Materials Tier 3,4200.0,Common Material Converter,210.0,Rawhide,1920.0,Thick Hide,360.0,Orichalcum Ore,540.0,Flux,35.0,Wood,144.0,Starmetal Ore,60.0,Iron Ore,240.0
